,Kms_Driven
0,-0.25579848491417573
4,0.14150771341365026
5,-0.8968629650510284
6,-0.4667693620068284
9,0.13937331765564318
12,-0.564385823421225
13,-0.28151409645642983
14,1.0409626583270721
15,0.15565129976189002
16,0.12165526130303009
17,0.15565129976189002
18,-0.037215786805015784
19,0.11558637697905813
20,-0.30722970799868393
21,-0.8884025288536268
23,0.2142828940782294
24,0.5125582723568348
26,0.4677873926617704
27,-0.5335270895705201
28,0.19530477276004585
29,0.20708252284639825
30,0.37266534556697245
31,0.443666149035136
33,0.20708252284639825
36,0.30395323152606946
37,2.315762669311235
38,-0.6909323478206575
41,0.25095335613748376
42,0.5413854728957016
43,0.22714069984935645
44,0.3356605805576688
45,-0.564385823421225
46,0.7093598474897055
47,0.7213947536914804
48,-0.28485712595692286
50,1.7424845411997643
51,0.0785044651351277
52,-0.564385823421225
53,2.521487561649268
55,0.8499728114027509
57,0.3356605805576688
58,0.06526092519086683
60,0.07853018074666995
61,0.09362524472197312
62,1.0556977037407838
63,0.2585137459309065
64,-0.7958263273015119
65,0.20708252284639825
66,-0.6672482695902414
67,0.5671010844379557
68,1.312853819163325
69,-0.6415326580479873
70,0.875688422945005
71,0.20708252284639825
73,0.15565129976189002
74,1.1842757614520543
75,-0.024357981033888733
76,0.9014040344872591
77,2.525447765826775
80,-0.35866093108319214
82,-0.564385823421225
83,0.027073242050619485
87,0.48995424981119345
88,0.2585137459309065
89,0.0785044651351277
90,0.6442479190647181
91,0.5476086508889272
93,0.0785044651351277
94,1.338569430705579
95,0.9014040344872591
96,-0.2043672618296675
98,0.20708252284639825
101,-0.9141181403958809
103,-0.9192612627043317
105,-0.39209122608812247
106,-0.5258124061078439
107,-0.564385823421225
108,-0.4872389887944627
109,-0.6672482695902414
110,-0.7958263273015119
111,-0.7263941761374259
114,-0.5129546003367168
116,-0.10150481566065106
117,-0.5901014349634791
119,-0.8112556942268645
120,-0.8035410107641882
121,-0.7726822769134832
122,-0.7958263273015119
123,0.2456559401597794
124,-0.6543904638191144
125,0.0785044651351277
126,-0.9166897015501063
127,-0.7701107157592578
128,-0.8729731619282743
129,-0.8215419388437661
130,-0.6672482695902414
131,-0.4872389887944627
132,-0.8601153561571473
133,-0.9372621907839096
134,-0.6466757803564381
135,-0.8215419388437661
136,-0.3458031253120651
137,-0.5386702118789709
138,-0.564385823421225
139,-0.5232408449536184
140,-0.12722042720290516
141,-0.43580776570995444
142,-0.2043672618296675
143,-0.30722970799868393
144,-0.30722970799868393
145,-0.4615233772522086
147,0.5413854728957016
150,-0.7958263273015119
152,-0.6158170465057332
153,0.20708252284639825
154,-0.7443951042170037
156,-0.564385823421225
157,-0.35866093108319214
158,-0.7289657372916513
159,-0.8472575503860202
160,-0.33294531954093803
161,-0.35866093108319214
162,-0.5772436291923521
163,-0.25579848491417573
164,-0.5901014349634791
165,-0.9372621907839096
166,-0.9244043850127825
167,0.12993568821963591
168,-0.6415326580479873
169,-0.5901014349634791
170,-0.808684133072639
171,-0.777825399221934
172,-0.5978161184261553
173,-0.9166897015501063
175,0.9785508691140214
178,-0.4615233772522086
180,0.5928166959802099
181,0.3356605805576688
184,-0.28151409645642983
185,-0.9012603346247539
186,-0.38437654262544624
187,-0.12722042720290516
188,-0.4872389887944627
189,0.4642386382689393
190,0.5928166959802099
191,-0.30722970799868393
192,0.3099449690154147
193,-0.33294531954093803
194,0.3356605805576688
195,-0.05007359257614284
197,-0.10150481566065106
198,-0.05007359257614284
200,1.4217080028216866
201,0.5413854728957016
202,-0.22493975106347078
203,0.424636596493868
204,-0.22283107091700594
205,-0.860295365437943
206,-0.6292148801192476
208,-0.8617868709073938
209,-0.4068777027249186
210,-0.030143993630895906
211,0.16940915193699596
213,-0.1374038093736378
214,-0.4328761859941375
215,-0.021786419879663323
216,-0.6286748522768603
218,0.20908834054669406
219,-0.024357981033888733
221,-0.12722042720290516
222,1.0462343586932343
223,0.6283299555200628
224,-0.01926628994852242
225,-0.3710815714581009
226,-0.31551013491528973
227,0.5156698613534475
228,0.5928166959802099
229,0.39048626436575457
230,0.20708252284639825
231,-0.5643601078096827
232,-0.6183886076599586
233,0.4128074151844311
234,-0.8346054695072311
235,-0.5607599221937671
236,-0.6454157153908677
237,0.7985415883182427
238,0.5990141583618931
241,-0.027803872980550783
242,-0.07578920411839694
243,-0.7701107157592578
244,0.3099449690154147
246,-0.05007359257614284
247,-0.024357981033888733
248,-0.1786516502874134
249,-0.5129546003367168
251,0.5079808935023136
252,-0.14195547261661676
255,0.4301654529754526
256,0.32439714270216147
257,0.08683632327481804
258,-0.30722970799868393
259,-0.02296933801060701
260,-0.19863268045574484
261,-0.8061125719184136
264,0.0791730710352263
265,-0.4049490318592495
266,-0.05007359257614284
267,-0.4503628018428703
270,0.8330262233964055
272,-0.24036911798882324
273,0.6237525766655415
274,-0.5258124061078439
275,-0.15928779479609603
276,-0.31237283030713475
277,-0.39003397716474214
278,-0.8472575503860202
279,0.08174463218945172
280,-0.578143675596331
281,0.34738689942093665
282,0.6699635306069722
283,-0.7184223365593271
284,-0.6981070034409463
285,-0.5628686023402321
286,-0.215450690404379
287,0.18136691130414415
288,-0.07578920411839694
289,-0.6677625818210865
290,-0.4615233772522086
291,-0.14195547261661676
292,-0.6415326580479873
294,-0.10101621904134823
295,0.5947710824574212
296,-0.076097791456904
298,1.3111565888015362
299,-0.7186794926747496
